1987,Private equity,275
1988,Private equity,232
1989,Private equity,231
1990,Private equity,147
1991,Private equity,189
1992,Private equity,225
1993,Private equity,267
1994,Private equity,219
1995,Private equity,185
1996,Private equity,198
1997,Private equity,218
2007,Private equity,463
2008,Private equity,534
2009,Private equity,561
2010,Private equity,661
2005,Private equity,402
2006,Private equity,424
2007,Private equity,403
2008,Private equity,516
2009,Private equity,747
2010,Private equity,1132
2011,Private equity,1764
2012,Private equity,1651
2013,Private equity,1259
2014,Private equity,2191
2015,Private equity,3267
2016,Private equity,1945
2004,Private equity,321
2005,Private equity,322
2006,Private equity,254
2007,Private equity,330
2008,Private equity,490
2009,Private equity,483
2010,Private equity,371
2011,Private equity,409
2012,Private equity,421
2013,Private equity,474
2014,Private equity,278
2015,Private equity,266
2016,Private equity,324
2004,Private equity,2262
2005,Private equity,3232
2006,Private equity,2598
2007,Private equity,2684
2008,Private equity,3166
2008,Private equity,
2008,Private equity,
2009,Private equity,
2012,Private equity,1321
2013,Private equity,726
2015,Private equity,628
2016,Private equity,655
2008,Private equity,1393
2009,Private equity,1681
2010,Private equity,2713
2011,Private equity,3798
2012,Private equity,3724
2013,Private equity,2500
2014,Private equity,1759
2015,Private equity,2750
2016,Private equity,1379
2007,Private equity,360
2008,Private equity,300
2009,Private equity,386
2010,Private equity,557
1988,Private equity,2736
1989,Private equity,2647
1990,Private equity,2701
1991,Private equity,2647
2009,Private equity,221
2010,Private equity,100
2011,Private equity,128
2012,Private equity,254
2013,Private equity,312
2014,Private equity,273
2015,Private equity,360
2016,Private equity,333
2006,Private equity,7969
2007,Private equity,10297
2008,Private equity,13415
2009,Private equity,22025
2001,Private equity,2399
2002,Private equity,2476
2003,Private equity,2575
2004,Private equity,3568
2005,Private equity,4783
2006,Private equity,6370
2007,Private equity,8696
2008,Private equity,8714
2009,Private equity,4229
2010,Private equity,2773
2011,Private equity,3663
2012,Private equity,4457
2013,Private equity,3431
2014,Private equity,3459
1999,Private equity,613
2000,Private equity,740
2001,Private equity,1503
2002,Private equity,1247
2003,Private equity,1496
2004,Private equity,1288
1998,Private equity,78
2007,Private equity,448
2008,Private equity,608
2009,Private equity,355
2010,Private equity,473
2011,Private equity,577
2012,Private equity,497
2013,Private equity,376
2014,Private equity,284
2015,Private equity,356
2016,Private equity,279
1999,Private equity,3523
2000,Private equity,3349
2001,Private equity,3498
2002,Private equity,2930
2003,Private equity,4622
2004,Private equity,3379
1989,Private equity,838
2013,Private equity,115
2014,Private equity,186
2015,Private equity,253
2016,Private equity,135
1997,Private equity,232
1998,Private equity,309
1999,Private equity,380
2009,Private equity,116
2010,Private equity,162
2011,Private equity,192
2012,Private equity,154
2009,Private equity,199
2010,Private equity,428
2011,Private equity,498
2012,Private equity,538
2013,Private equity,678
2014,Private equity,1330
2015,Private equity,1142
1988,Private equity,2313
