1998,Publicly traded,203
1999,Publicly traded,207
2000,Publicly traded,208
2001,Publicly traded,207
2002,Publicly traded,240
2003,Publicly traded,272
2004,Publicly traded,363
2005,Publicly traded,354
2006,Publicly traded,420
2011,Publicly traded,729
2012,Publicly traded,716
2013,Publicly traded,782
2014,Publicly traded,682
2015,Publicly traded,624
2016,Publicly traded,581
2001,Publicly traded,175
2002,Publicly traded,240
2003,Publicly traded,590
2004,Publicly traded,535
2005,Publicly traded,650
2006,Publicly traded,816
2007,Publicly traded,1548
2008,Publicly traded,683
2009,Publicly traded,3466
2010,Publicly traded,5316
2011,Publicly traded,6189
2012,Publicly traded,2554
2013,Publicly traded,1881
2014,Publicly traded,3128
2015,Publicly traded,4372
2000,Publicly traded,1577
2001,Publicly traded,5833
2002,Publicly traded,2052
2003,Publicly traded,1955
2004,Publicly traded,1945
2005,Publicly traded,2065
2006,Publicly traded,979
2007,Publicly traded,1287
2008,Publicly traded,1502
2009,Publicly traded,1456
2010,Publicly traded,1171
2011,Publicly traded,1148
2012,Publicly traded,892
2013,Publicly traded,590
2014,Publicly traded,254
2015,Publicly traded,83
2016,Publicly traded,23
2006,Publicly traded,53
2007,Publicly traded,55
2008,Publicly traded,51
2009,Publicly traded,61
2010,Publicly traded,56
2011,Publicly traded,86
2012,Publicly traded,87
2013,Publicly traded,74
2014,Publicly traded,43
2015,Publicly traded,25
2006,Publicly traded,190
2007,Publicly traded,281
2008,Publicly traded,254
2009,Publicly traded,184
2010,Publicly traded,186
2011,Publicly traded,149
2012,Publicly traded,188
2013,Publicly traded,164
2014,Publicly traded,175
2015,Publicly traded,126
2016,Publicly traded,115
2009,Publicly traded,4533
2010,Publicly traded,5844
2011,Publicly traded,4858
2012,Publicly traded,3608
2013,Publicly traded,2814
2014,Publicly traded,2967
2015,Publicly traded,2848
2016,Publicly traded,676
2009,Publicly traded,
2010,Publicly traded,
2011,Publicly traded,1099
2012,Publicly traded,853
2013,Publicly traded,685
2014,Publicly traded,691
2015,Publicly traded,718
2016,Publicly traded,633
2010,Publicly traded,
2011,Publicly traded,867
2012,Publicly traded,592
2013,Publicly traded,399
2014,Publicly traded,440
2015,Publicly traded,424
2016,Publicly traded,357
2011,Publicly traded,800
2012,Publicly traded,726
2013,Publicly traded,784
2014,Publicly traded,684
2015,Publicly traded,611
2016,Publicly traded,450
2006,Publicly traded,62
2007,Publicly traded,55
2008,Publicly traded,52
2009,Publicly traded,42
2010,Publicly traded,59
2011,Publicly traded,31
2012,Publicly traded,53
2013,Publicly traded,59
2014,Publicly traded,53
2015,Publicly traded,60
2016,Publicly traded,44
2006,Publicly traded,134
2007,Publicly traded,182
2008,Publicly traded,167
2009,Publicly traded,131
2010,Publicly traded,141
2011,Publicly traded,138
2012,Publicly traded,195
2013,Publicly traded,123
2014,Publicly traded,113
2015,Publicly traded,97
2016,Publicly traded,66
2012,Publicly traded,193
2013,Publicly traded,140
2014,Publicly traded,143
2015,Publicly traded,130
2016,Publicly traded,133
1992,Publicly traded,2719
1993,Publicly traded,2560
1994,Publicly traded,2645
1995,Publicly traded,2635
1996,Publicly traded,2714
1997,Publicly traded,2862
1998,Publicly traded,3263
1999,Publicly traded,3747
2000,Publicly traded,3706
2001,Publicly traded,3705
2002,Publicly traded,3050
2003,Publicly traded,3000
2004,Publicly traded,2526
2005,Publicly traded,2098
2006,Publicly traded,1753
2007,Publicly traded,1538
2008,Publicly traded,1608
2009,Publicly traded,1700
2010,Publicly traded,2016
2011,Publicly traded,2592
2012,Publicly traded,2311
2013,Publicly traded,1832
2010,Publicly traded,34205
2011,Publicly traded,37440
2012,Publicly traded,40487
2013,Publicly traded,48650
2014,Publicly traded,55497
2015,Publicly traded,62304
2016,Publicly traded,69444
1999,Publicly traded,211
2000,Publicly traded,221
2001,Publicly traded,299
2002,Publicly traded,285
2003,Publicly traded,394
2004,Publicly traded,107
2005,Publicly traded,359
2006,Publicly traded,388
2007,Publicly traded,456
2008,Publicly traded,427
2009,Publicly traded,560
2010,Publicly traded,690
2011,Publicly traded,644
2012,Publicly traded,487
2013,Publicly traded,419
2014,Publicly traded,93
1996,Publicly traded,219
1997,Publicly traded,216
1998,Publicly traded,230
1999,Publicly traded,210
2000,Publicly traded,192
2001,Publicly traded,224
2002,Publicly traded,280
2003,Publicly traded,288
2004,Publicly traded,413
2005,Publicly traded,515
2006,Publicly traded,469
2007,Publicly traded,464
2008,Publicly traded,496
2009,Publicly traded,476
2010,Publicly traded,494
2011,Publicly traded,521
2012,Publicly traded,518
2013,Publicly traded,460
2014,Publicly traded,409
2015,Publicly traded,400
2016,Publicly traded,342
1996,Publicly traded,325
1997,Publicly traded,361
1998,Publicly traded,358
1999,Publicly traded,400
2000,Publicly traded,369
2001,Publicly traded,330
2002,Publicly traded,417
2003,Publicly traded,456
2004,Publicly traded,529
2005,Publicly traded,675
2006,Publicly traded,734
2007,Publicly traded,716
2008,Publicly traded,762
2009,Publicly traded,803
2010,Publicly traded,840
2011,Publicly traded,829
2012,Publicly traded,721
2013,Publicly traded,575
2014,Publicly traded,498
2015,Publicly traded,445
2016,Publicly traded,379
2005,Publicly traded,2659
2006,Publicly traded,3026
2007,Publicly traded,2461
2008,Publicly traded,2320
2009,Publicly traded,1758
2010,Publicly traded,3197
2011,Publicly traded,3371
2012,Publicly traded,2842
2013,Publicly traded,2594
2014,Publicly traded,2049
2015,Publicly traded,1724
2016,Publicly traded,1349
2006,Publicly traded,149
2007,Publicly traded,186
2008,Publicly traded,158
2009,Publicly traded,130
2012,Publicly traded,107
2013,Publicly traded,115
2014,Publicly traded,87
2015,Publicly traded,87
2016,Publicly traded,111
1996,Publicly traded,6519
1997,Publicly traded,8691
1998,Publicly traded,9373
1999,Publicly traded,10793
2000,Publicly traded,10044
2001,Publicly traded,9152
2002,Publicly traded,10579
2003,Publicly traded,11355
2004,Publicly traded,12246
2005,Publicly traded,15049
2006,Publicly traded,14865
2007,Publicly traded,12478
2008,Publicly traded,9592
2009,Publicly traded,10142
2010,Publicly traded,10918
2011,Publicly traded,11124
2012,Publicly traded,11763
2013,Publicly traded,11587
2014,Publicly traded,9468
2000,Publicly traded,63
2006,Publicly traded,168
2007,Publicly traded,55
2005,Publicly traded,6272
2006,Publicly traded,6104
2007,Publicly traded,5479
2008,Publicly traded,4676
2009,Publicly traded,3343
2010,Publicly traded,5847
2011,Publicly traded,5391
2012,Publicly traded,4848
2013,Publicly traded,4033
2014,Publicly traded,3680
2015,Publicly traded,3743
2016,Publicly traded,2100
2000,Publicly traded,1499
2001,Publicly traded,1520
2002,Publicly traded,1322
2003,Publicly traded,1811
2004,Publicly traded,2138
2005,Publicly traded,2610
2006,Publicly traded,50663
2007,Publicly traded,12687
2008,Publicly traded,8909
2009,Publicly traded,2901
2010,Publicly traded,2927
2011,Publicly traded,3084
2012,Publicly traded,3239
2013,Publicly traded,2926
2014,Publicly traded,2042
2015,Publicly traded,1374
2016,Publicly traded,1301
2006,Publicly traded,154
2007,Publicly traded,150
2008,Publicly traded,195
2009,Publicly traded,163
2010,Publicly traded,201
2011,Publicly traded,204
2012,Publicly traded,205
2013,Publicly traded,198
2014,Publicly traded,172
2015,Publicly traded,126
2016,Publicly traded,155
1990,Publicly traded,838
1991,Publicly traded,838
1992,Publicly traded,864
1993,Publicly traded,382
1994,Publicly traded,267
1995,Publicly traded,64
1996,Publicly traded,438
1997,Publicly traded,488
1998,Publicly traded,480
1999,Publicly traded,444
2000,Publicly traded,438
2001,Publicly traded,476
2002,Publicly traded,533
2003,Publicly traded,530
2004,Publicly traded,553
2005,Publicly traded,655
2006,Publicly traded,697
2007,Publicly traded,717
2008,Publicly traded,684
2009,Publicly traded,716
2010,Publicly traded,731
2011,Publicly traded,755
2012,Publicly traded,660
2013,Publicly traded,577
2014,Publicly traded,510
2015,Publicly traded,500
2016,Publicly traded,415
2002,Publicly traded,837
2003,Publicly traded,1249
2004,Publicly traded,1281
2005,Publicly traded,2061
2006,Publicly traded,1591
2007,Publicly traded,1100
2008,Publicly traded,674
2009,Publicly traded,229
2010,Publicly traded,75
2000,Publicly traded,59
